state,hbips2_measure_description,s_hbips2_overall_rate_per_1000,s_hbips2_overall_num,s_hbips2_overall_den,hbips3_measure_description,s_hbips3_overall_rate_per_1000,s_hbips3_overall_num,s_hbips3_overall_den,smd_measure_description,s_smd_,sub22a_measure_description,s_sub2_,s_sub2a_,sub33a_measure_description,s_sub3_,s_sub3a_,tob33a_measure_description,s_tob3_,s_tob3a_,tr1_measure_description,s_tr1_,start_date,end_date,faph_measure_description,s_faph30_,s_faph7_,faph_measure_start_date,faph_measure_end_date,medcont_measure_description,s_medcont_,medcont_measure_start_date,medcont_measure_end_date,readm30ipf_measure_desc,s_readm30ipf_ipfs_worse,s_readm30ipf_ipfs_same,s_readm30ipf_ipfs_better,s_readm30ipf_ipfs_too_few,readm30ipf_start_date,readm30ipf_end_date,imm2_measure_description,s_imm2_,flu_season_start_date,flu_season_end_date,ipfqrhcp_covid19_measure_description,ipfqrhcp_covid19_,ipfqrhcp_covid19_start_date,ipfqrhcp_covid19_end_date
AK,Hours of physical-restraint use,0.11,132.05,48425,Hours of seclusion use,0.35,403.74,48425,Screening for metabolic disorders (SMD),74,Alcohol use brief intervention provided or offered,33,51,Alcohol and other drug use disorder treatment provided or offered at discharge,60,56,Tobacco use treatment provided or offered at discharge,29,1,Transition record with specified elements received by discharged patients (TR1),13,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,50,30.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,65,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,2,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),72,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),34.5,04/01/2024,06/30/2024
AL,Hours of physical-restraint use,0.08,873.96,456971,Hours of seclusion use,0.27,2920.74,456971,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,59,80,Alcohol and other drug use disorder treatment provided or offered at discharge,72,70,Tobacco use treatment provided or offered at discharge,63,34,Transition record with specified elements received by discharged patients (TR1),67,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.8,26.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,35,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),5.6,04/01/2024,06/30/2024
AR,Hours of physical-restraint use,0.17,1241.63,306627,Hours of seclusion use,0.07,551.2,306627,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,40,53,Alcohol and other drug use disorder treatment provided or offered at discharge,61,32,Tobacco use treatment provided or offered at discharge,61,12,Transition record with specified elements received by discharged patients (TR1),78,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,54.7,30.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,25,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),10.7,04/01/2024,06/30/2024
AZ,Hours of physical-restraint use,0.1,1819.41,749743,Hours of seclusion use,0.11,1905.82,749743,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,64,77,Alcohol and other drug use disorder treatment provided or offered at discharge,65,60,Tobacco use treatment provided or offered at discharge,61,14,Transition record with specified elements received by discharged patients (TR1),61,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.1,48.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,30,1,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),15.5,04/01/2024,06/30/2024
CA,Hours of physical-restraint use,0.38,19202.7,2127306,Hours of seclusion use,0.39,19800.11,2127306,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,58,75,Alcohol and other drug use disorder treatment provided or offered at discharge,65,55,Tobacco use treatment provided or offered at discharge,52,16,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,53.1,32.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,75.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),6,78,4,7,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),14.7,04/01/2024,06/30/2024
CO,Hours of physical-restraint use,0.16,1744.15,448674,Hours of seclusion use,0.18,1976.69,448674,Screening for metabolic disorders (SMD),75,Alcohol use brief intervention provided or offered,65,82,Alcohol and other drug use disorder treatment provided or offered at discharge,86,80,Tobacco use treatment provided or offered at discharge,54,20,Transition record with specified elements received by discharged patients (TR1),75,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.2,36.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,69.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,13,2,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),5.8,04/01/2024,06/30/2024
CT,Hours of physical-restraint use,0.86,7534.5,366970,Hours of seclusion use,0.45,4004.95,366970,Screening for metabolic disorders (SMD),82,Alcohol use brief intervention provided or offered,80,82,Alcohol and other drug use disorder treatment provided or offered at discharge,79,76,Tobacco use treatment provided or offered at discharge,53,38,Transition record with specified elements received by discharged patients (TR1),32,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,67.3,44.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.8,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,23,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),67,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),22.8,04/01/2024,06/30/2024
DC,Hours of physical-restraint use,0.07,208.06,121825,Hours of seclusion use,0.09,251.66,121825,Screening for metabolic disorders (SMD),82,Alcohol use brief intervention provided or offered,54,78,Alcohol and other drug use disorder treatment provided or offered at discharge,78,56,Tobacco use treatment provided or offered at discharge,66,8,Transition record with specified elements received by discharged patients (TR1),56,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.3,51.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,61.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),1.2,04/01/2024,06/30/2024
DE,Hours of physical-restraint use,0.02,96.57,172756,Hours of seclusion use,0.05,209.35,172756,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,71,80,Alcohol and other drug use disorder treatment provided or offered at discharge,76,62,Tobacco use treatment provided or offered at discharge,55,4,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.9,28.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,81.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,5,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),54,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),6.3,04/01/2024,06/30/2024
FL,Hours of physical-restraint use,0.09,3988.63,1821258,Hours of seclusion use,0.07,3198.83,1821258,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,59,78,Alcohol and other drug use disorder treatment provided or offered at discharge,72,64,Tobacco use treatment provided or offered at discharge,62,27,Transition record with specified elements received by discharged patients (TR1),44,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,52.8,31.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,67.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),29,36,0,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),70,10/01/2023,03/31/2024,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations (IPFQR-HCP-COVID-19),12.3,04/01/2024,06/30/2024
